"scenario","region","sources","param","units","class","x","value"
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Africa_Eastern","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Africa_Northern","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Africa_Southern","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Africa_Western","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Argentina","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Australia_NZ","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Brazil","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Canada","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Central America and Caribbean","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Central Asia","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","China","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Colombia","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","EU-12","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","EU-15","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Europe_Eastern","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Europe_Non_EU","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","European Free Trade Association","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","India","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Indonesia","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Japan","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","e Oil",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","g Biomass",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","i Nuclear",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","j Geothermal",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","k Hydro",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","l Wind",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","m Solar",2010,0
"Local Data","Mexico","Sources","elecByTech","Electricity Generation (TWh)","n CHP",2010,0
"Local Data","Middle East","Sources","elecByTech","Electricity Generation (TWh)","a Coal",2010,0
"Local Data","Middle East","Sources","elecByTech","Electricity Generation (TWh)","c Gas",2010,0
