"scenario","region","sources","param","units","class","x","value"
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","China","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Colombia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","EU-12","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","EU-15","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Europe_Eastern","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Europe_Non_EU","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","European Free Trade Association","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","India","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Indonesia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Japan","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Mexico","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Middle East","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Pakistan","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Russia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","South Africa","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","South America_Northern","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","South America_Southern","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","South Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
