scenario,region,sources,param,units,class1,class2,x,value
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),crops,class2,2010,16
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),forest,class2,2010,19.5
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),naturalOther,class2,2010,8.2
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),pasture,class2,2010,131.4
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),urban,class2,2010,1.2
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2010,12.18
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2010,16.726
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2010,12.011
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2015,12.793
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2015,24.074
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2015,14.351
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2020,14.77
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2020,26.33
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2020,17.154
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2025,16.329
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2025,28.389
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2025,19.899
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2030,18.015
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2030,30.703
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2030,22.458
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2035,19.887
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2035,33.483
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2035,24.702
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),a oil,class2,2010,22.181
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),b natural gas,class2,2010,0.749
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),c coal,class2,2010,0.031
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),d biomass,class2,2010,15.338
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),f hydro,class2,2010,11.646
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),g wind,class2,2010,0.07
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),j traditional biomass,class2,2010,0
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2010,1.153
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2010,0.272
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2010,8.21
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2010,0.068
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2010,0
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2015,0.927
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2015,0.829
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2015,7.856
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2015,2.057
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2015,0
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2020,0.554
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2020,0.903
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2020,6.204
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2020,5.327
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2020,0.427
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2025,0.793
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2025,0.903
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2025,6.168
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2025,6.56
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2025,0.442
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2030,0.839
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2030,0.905
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2030,6.196
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2030,7.878
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2030,0.976
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2035,1.015
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2035,0.902
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2035,6.222
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2035,8.802
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2035,1.933
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2040,1.912
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2040,0.904
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2040,6.272
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),l Wind,class2,2040,9.079
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),m Solar,class2,2040,2.344
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2005,3.352
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2010,3.397
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2015,3.467
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2020,3.531
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2025,3.589
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2030,3.639
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2035,3.676
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2040,3.699
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2045,3.708
Local Data,Uruguay,INE1,pop,Population (Millions),class1,class2,2050,3.705
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2010,6
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2015,3.4
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2020,2.4
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2025,3
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2030,3
Local Data,Uruguay,BCU1,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2035,3
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Corn,class2,2010,0.2862
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),MiscCrop,class2,2010,0.6
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),SoySunflower,class2,2010,1.5449
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),OtherGrain,class2,2010,0.3098
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Rice,class2,2010,1.643
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Root_Tuber,class2,2010,0.165
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),SugarCrop,class2,2010,0.3133007
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Wheat,class2,2010,1.3007
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Corn,class2,2015,0.4795
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),MiscCrop,class2,2015,0
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),SoySunflower,class2,2015,3.1093
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),OtherGrain,class2,2015,0.57
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Rice,class2,2015,1.3961
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Root_Tuber,class2,2015,0.121
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),SugarCrop,class2,2015,0.4822
Local Data,Uruguay,DIEA1,agProdByCrop,Agricultural Production (Mt),Wheat,class2,2015,1.0756
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),biomass,buildings,2010,3.67
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,buildings,2010,2.31
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),electricity,buildings,2010,6.17
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),gas,buildings,2010,0.38
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,buildings,2010,0.02
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),biomass,industry,2010,9.75
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,industry,2010,0.02
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),gas,industry,2010,0.15
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,industry,2010,3.99
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),electricity,industry,2010,2.92
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,transport,2010,11.32
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,transport,2010,0.08
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),biomass,buildings,2015,3.56
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,buildings,2015,1.49
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),electricity,buildings,2015,7.5
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),gas,buildings,2015,0.36
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,buildings,2015,0.01
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),biomass,industry,2015,17.29
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,industry,2015,0.01
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),gas,industry,2015,0.19
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,industry,2015,4.58
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),electricity,industry,2015,3.69
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),oil,transport,2015,15.28
Local Data,Uruguay,BEN1,finalNrgbyFuelbySec,Final Energy (TWh),other,transport,2015,0
Local Data,Uruguay,DCCMVOTMA,co2emissionBySector,MegaTonnes of CO2 eq. (MTCO2eq),energy,class2,2010,4.939
Local Data,Uruguay,DCCMVOTMA,co2emissionBySector,MegaTonnes of CO2 eq. (MTCO2eq),industry,class2,2010,0.42
Local Data,Uruguay,DCCMVOTMA,co2emissionBySector,MegaTonnes of CO2 eq. (MTCO2eq),transport,class2,2010,3.26
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGTPAR5,100 yr GTP AR5,CH4,class2,2010,3.008
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGTPAR5,100 yr GTP AR5,CO2,class2,2010,8.619
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGTPAR5,100 yr GTP AR5,HFCs,class2,2010,0
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGWPAR5,100 yr GWP AR5,CH4,class2,2010,22.375
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGWPAR5,100 yr GWP AR5,CO2,class2,2010,8.619
Local Data,Uruguay,DCCMVOTMA,nonco2emissionBySectorGWPAR5,100 yr GWP AR5,HFCs,class2,2010,0
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),agriculture,class2,2010,3.55
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),electricity,class2,2010,0
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),industry,class2,2010,0.54
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),livestock,class2,2010,0.03
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),mining,class2,2010,0
Local Data,Uruguay,PlanAguas,watWithdrawBySec,Water Withdrawals (km^3),municipal,class2,2010,0.41
